Ticker,Company,Sector,Industry,Country,Price,Market Cap (billions)
AMT,American Tower Corp,Real Estate,REIT - Specialty,USA,176.94,82.68
AMZN,Amazon.com Inc,Consumer Cyclical,Internet Retail,USA,218.46,2297.11
ANET,Arista Networks Inc,Technology,Computer Hardware,USA,112.64,141.9
ANSS,Ansys Inc,Technology,Software - Application,USA,337.19,29.49
AOS,A.O. Smith Corp,Industrials,Specialty Industrial Machinery,USA,68.63,10.01
APD,Air Products & Chemicals Inc,Basic Materials,Specialty Chemicals,USA,301.74,67.1
APG,APi Group Corporation,Industrials,Engineering & Construction,USA,35.78,10.07
APH,Amphenol Corp,Technology,Electronic Components,USA,68.34,82.39
APO,Apollo Global Management Inc,Financial,Asset Management,USA,154.8,87.59
APP,Applovin Corp,Technology,Software - Application,USA,315.68,105.94
AR,Antero Resources Corp,Energy,Oil & Gas E&P,USA,38.3,11.92
ARCC,Ares Capital Corp,Financial,Asset Management,USA,22.1,14.28
ARE,Alexandria Real Estate Equities Inc,Real Estate,REIT - Office,USA,97.67,17.07
ARES,Ares Management Corp,Financial,Asset Management,USA,175.49,54.94
ARMK,Aramark,Industrials,Specialty Business Services,USA,37.77,10.0
ATO,Atmos Energy Corp,Utilities,Utilities - Regulated Gas,USA,138.26,21.49
ATR,Aptargroup Inc,Healthcare,Medical Instruments & Supplies,USA,153.89,10.24
AUR,Aurora Innovation Inc,Technology,Information Technology Services,USA,6.27,10.77
AVB,Avalonbay Communities Inc,Real Estate,REIT - Residential,USA,215.78,30.69
AVGO,Broadcom Inc,Technology,Semiconductors,USA,225.29,1056.01
AVTR,Avantor Inc,Healthcare,Medical Instruments & Supplies,USA,22.02,14.99
AVY,Avery Dennison Corp,Consumer Cyclical,Packaging & Containers,USA,187.96,15.1
AWK,American Water Works Co. Inc,Utilities,Utilities - Regulated Water,USA,121.01,23.58
AXON,Axon Enterprise Inc,Industrials,Aerospace & Defense,USA,568.68,43.36
AXP,American Express Co,Financial,Credit Services,USA,297.02,209.23
AZO,Autozone Inc,Consumer Cyclical,Specialty Retail,USA,3239.62,54.37
AZPN,Aspen Technology Inc,Technology,Software - Application,USA,249.06,15.75
BA,Boeing Co,Industrials,Aerospace & Defense,USA,170.57,127.62
BAC,Bank Of America Corp,Financial,Banks - Diversified,USA,45.06,345.74
BAH,Booz Allen Hamilton Holding Corp,Industrials,Consulting Services,USA,135.12,17.26
BALL,Ball Corp,Consumer Cyclical,Packaging & Containers,USA,53.25,15.89
BAX,Baxter International Inc,Healthcare,Medical Instruments & Supplies,USA,30.5,15.57
